action_id,capital_tier,magnitude_pct,composite_score,E_score,Ec_score,S_score,slope_per_unit,cost_efficiency_per_$1M
affordable_housing,settlement_social,75.0,5.223182355063603,3.3309100706164894,7.016150367413511,5.322486627160808,3.2896637625512428e-06,1.8275909791951347e-05
affordable_housing,settlement_social,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,3.2896637625512428e-06,1.8275909791951347e-05
affordable_housing,settlement_social,150.0,5.224415978974561,3.3309100706164894,7.016150367413511,5.326187498893681,3.2896637625547952e-06,1.8275909791971086e-05
affordable_housing,settlement_social,200.0,5.225238394915199,3.3309100706164894,7.016150367413511,5.328654746715596,3.2896637625547952e-06,1.8275909791971086e-05
lead_service_line,settlement_social,25.0,5.2231646899448325,3.3306830201575597,7.015999000440892,5.322812049236047,5.7183078545008926e-08,
lead_service_line,settlement_social,50.0,5.223307647641196,3.3307587036438693,7.016049456098431,5.323114783181287,5.7183078545364196e-08,
lead_service_line,settlement_social,75.0,5.2234506053375585,3.3308343871301798,7.016099911755971,5.323417517126526,5.7183078545008926e-08,
lead_service_line,settlement_social,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,5.7183078545364196e-08,
lead_service_line,settlement_social,150.0,5.223879478426648,3.331061437589109,7.01625127872859,5.324325718962244,5.718307854518656e-08,
lead_service_line,settlement_social,200.0,5.224165393819374,3.3312128045617286,7.016352190043671,5.324931186852723,5.718307854518656e-08,
irrigation_efficiency,agriculture,25.0,5.222979666644581,3.329759014886476,7.015689945121506,5.323490039925763,8.185285191188996e-07,0.0013642141985314993
irrigation_efficiency,agriculture,50.0,5.223184298774361,3.3301427001298136,7.01584341921884,5.32356677697443,8.185285191188996e-07,0.0013642141985314993
irrigation_efficiency,agriculture,75.0,5.223388930904142,3.3305263853731515,7.015996893316175,5.323643514023098,8.18528519126005e-07,0.0013642141985433416
irrigation_efficiency,agriculture,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,8.185285191188996e-07,0.0013642141985314993
irrigation_efficiency,agriculture,150.0,5.224002827293482,3.3316774411031647,7.01645731560818,5.323873725169101,8.185285191206759e-07,0.0013642141985344598
irrigation_efficiency,agriculture,200.0,5.2244120915530425,3.33244481158984,7.016764263802851,5.324027199266435,8.185285191206759e-07,0.0013642141985344598
ev_charging_network,transport,25.0,5.223230643521014,3.330728610860036,7.015787447900602,5.3231758718024045,4.838926838743873e-06,
ev_charging_network,transport,50.0,5.223351616691984,3.3307890974455203,7.015908421071572,5.323357331558858,4.8389268387794004e-06,
ev_charging_network,transport,75.0,5.223472589862953,3.3308495840310046,7.016029394242541,5.323538791315312,4.8389268387794004e-06,
ev_charging_network,transport,100.0,5.223593563033922,3.3309100706164894,7.016150367413511,5.323720251071766,4.838926838743873e-06,
ev_charging_network,transport,150.0,5.223835509375861,3.3310310437874584,7.016392313755449,5.324083170584673,4.8389268387794004e-06,
ev_charging_network,transport,200.0,5.224077455717798,3.331152016958428,7.016634260097386,5.324446090097581,4.838926838743873e-06,
