geoid,county_name,state,risk_score,eal_score,eal_valt,sovi_score,resl_score,wildfire_risk_score,wildfire_eal_score,wildfire_eal_total,wildfire_annualized_frequency,riverine_flood_risk_score,riverine_flood_eal_score,riverine_flood_eal_total,riverine_flood_annualized_frequency,drought_risk_score,drought_eal_score,drought_eal_total,drought_annualized_frequency,heat_wave_risk_score,heat_wave_eal_score,heat_wave_eal_total,heat_wave_annualized_frequency,winter_weather_risk_score,winter_weather_eal_score,winter_weather_eal_total,winter_weather_annualized_frequency,hail_risk_score,hail_eal_score,hail_eal_total,hail_annualized_frequency,strong_wind_risk_score,strong_wind_eal_score,strong_wind_eal_total,strong_wind_annualized_frequency,wrc_total_buildings,wrc_buildings_fraction_me,wrc_buildings_fraction_ie,wrc_buildings_fraction_de,wrc_bp_national_rank,wrc_risk_national_rank,mtbs_fire_count_2000_2024,mtbs_burned_acres_2000_2024
30079,Prairie,MT,4.230279898218829,2.475247524752475,2160484.4302760954,74.14122137,19.49745547073791,60.973282442748086,58.269720101781175,67468.61293177826,0.0026375389079937865,5.788804071246819,4.517326732673268,625715.6840428312,0.7857142857142857,23.123409669211195,23.844961240310077,6206.003775506621,42.39904988123515,18.561335902376364,18.894440974391006,40164.96598037773,2.9473684210526305,24.602164226607258,24.210526315789473,17019.879889266285,17.684210526315784,16.189567430025445,16.34108527131783,41901.324484446144,1.8947446806598904,8.874045801526718,9.736434108527131,47705.23415492504,1.3780936796687404,2250.0,0.0,0.454666667,0.5453333329999999,0.8249999999999998,0.815,9,17694.0
30081,Ravalli,MT,78.46692111959288,77.87747524752476,37003883.137853414,45.19720102,27.25826972010178,98.88676844783714,98.91857506361323,21311630.75903352,0.012776802780652704,51.972010178117046,54.45544554455446,6603966.971901193,0.7857142857142857,19.529262086513995,21.364341085271317,3414.9988298775725,34.04514329800143,47.14193962748876,49.25046845721424,306884.5040038027,0.7406656422386692,87.39656269891789,86.87306501547988,316807.76448173187,53.0076375155126,28.848600508905854,32.372093023255815,105785.36069543596,0.3626616899554204,12.849872773536896,15.720930232558139,96397.40038753941,0.1982484401638128,37573.0,0.01019349,0.155563836,0.8342426739999999,0.989,0.99,72,681279.0
30087,Rosebud,MT,49.713740458015266,29.6720297029703,8742202.178948617,97.36005089,0.8905852417302799,95.00636132315522,92.55725190839695,1905277.1476743107,0.005229190439711112,56.52035623409669,41.491336633663366,4383012.576102744,0.7857142857142857,33.5559796437659,30.54263565891473,19656.391397419313,63.78342158939944,31.82402055234425,26.07745159275453,81838.2801025787,2.2626244001686624,84.78676002546149,74.08668730650156,146948.19298636453,17.333973515143853,43.95674300254453,33.89147286821705,113628.00240975039,1.5845355059544504,17.557251908396946,14.015503875968992,82816.00345742528,0.8808598989517132,8563.0,0.003503445,0.3839775779999999,0.612518977,0.956,0.942,55,901643.0
30093,Silver Bow,MT,38.040712468193384,49.41212871287129,14447801.142941138,16.98473282,62.913486005089055,80.72519083969466,83.52417302798982,526609.141596906,0.00143387201668104,21.692111959287534,30.78589108910891,3159330.9257232826,0.2857142857142857,14.472010178117047,16.899224806201552,526.1976076148707,91.13315911704424,13.872832369942195,18.332292317301686,37848.8921680737,0.26288044618333345,92.42520687460217,93.86996904024768,598957.7054886925,44.956053088403344,27.16284987277354,36.434108527131784,126796.440353355,0.6040420102053445,9.987277353689567,14.666666666666666,87715.8842079257,0.3120319764317799,23048.0,0.185048594,0.5660360989999998,0.248915307,0.783,0.8369999999999999,3,7655.0
30095,Stillwater,MT,16.762086513994912,31.683168316831683,9173529.097373955,10.62340967,56.265903307888046,87.05470737913485,89.98091603053436,1263680.4166043354,0.001463263386102446,36.22773536895674,51.39232673267327,6053241.423910466,0.6071428571428571,25.44529262086514,30.418604651162788,19141.857170036263,68.91143631444194,14.16184971098266,19.956277326670833,45424.07687799824,1.1931670144649975,51.52768936982813,63.62229102167183,95809.22076923764,21.588814592784573,28.65776081424936,41.48837209302326,158495.54073992782,1.605694775933036,5.820610687022901,10.48062015503876,55718.597537590125,0.7029012895644711,10618.0,0.000565078,0.291297796,0.708137126,0.781,0.808,18,58385.0
30097,Sweet Grass,MT,8.142493638676845,16.676980198019802,5892856.041086638,10.62340967,54.42111959287532,88.10432569974554,90.93511450381679,1454520.165397892,0.0012391974380403475,19.6882951653944,33.01361386138614,3395280.3732033405,0.39285714285714285,18.161577608142494,21.488372093023255,3511.8566629277734,65.67695961995257,6.583172768143866,10.680824484697064,12621.742649668275,0.7499892938143872,32.145130490133674,44.61300309597524,46399.89334112501,22.676974278217997,21.374045801526716,33.08527131782946,108910.50503992323,1.324265553249653,3.276081424936387,6.883720930232558,25361.286551446265,0.6021551791798347,5344.0,0.000187126,0.230538922,0.769273952,0.81,0.8469999999999999,12,275248.0
30103,Treasure,MT,0.508905852417303,0.742574257425743,1120983.3435779526,10.62340967,4.739185750636132,63.64503816793893,68.98854961832062,146049.61622350212,0.005981391461721169,2.544529262086514,4.26980198019802,598097.8427815808,0.39285714285714285,26.55852417302799,31.007751937984494,20949.23689877748,69.55661124307204,6.101477199743096,9.775140537164273,10347.383787446428,2.2648139336561743,12.094207511139402,19.78328173374613,12883.439724307307,16.38006555432942,7.792620865139948,12.868217054263567,29967.708445953034,1.5905520598086653,2.735368956743003,5.953488372093023,18136.50354348267,0.8663423175516033,1434.0,0.2656903769999999,0.185495119,0.548814505,0.928,0.92,32,268079.0
30107,Wheatland,MT,3.498727735368957,2.320544554455445,2113020.244738536,62.21374046,10.146310432569974,51.01781170483461,49.61832061068702,41196.3229395637,0.0003963406786822815,12.150127226463106,11.138613861386139,1253784.9517979785,0.32142857142857145,24.71374045801527,25.953488372093027,9451.253600979433,72.88202692003173,6.936416184971097,8.806995627732666,8250.212809690338,0.982207100455426,29.18523233609166,29.31888544891641,23391.316764623203,20.076384089732464,23.346055979643765,24.310077519379846,69252.62858679195,1.6562669000676145,2.926208651399491,4.992248062015504,11786.79224837359,0.6704862753571803,3489.0,0.002292921,0.3654342219999999,0.6322728579999999,0.454,0.4849999999999999,4,12609.0
30109,Wibaux,MT,11.068702290076336,20.451732673267326,6708117.781813238,10.62340967,4.103053435114504,41.85750636132315,48.346055979643765,38617.6556974079,0.001259640621810123,3.689567430025445,6.064356435643564,754934.0203635485,0.6071428571428571,18.861323155216287,21.984496124031008,4094.1202973723452,27.434679334916858,11.657032755298651,16.489693941286696,30794.619222682417,2.5789473684210513,36.85550604710375,47.80185758513932,52391.47167923672,18.42105263157895,19.974554707379134,30.015503875968992,93273.06646880039,2.2289126638668577,5.852417302798982,10.170542635658915,51813.47695367619,1.4320787228254588,2093.0,0.1299569999999999,0.1399904439999999,0.7300525559999999,0.7219999999999999,0.7219999999999999,6,6784.0
30111,Yellowstone,MT,83.5559796437659,86.13861386138613,60109560.36160653,20.32442748,82.31552162849873,93.44783715012723,94.40203562340967,2919018.6253063,0.0032702228481900973,84.54198473282443,87.22153465346535,29342403.467055872,1.0,35.591603053435115,39.06976744186046,51213.491023323535,71.54363416602355,72.25433526011561,78.07620237351655,1187094.7698287226,2.2100380967225637,99.14067472947168,99.50464396284829,2348243.6049654633,18.283678752132104,81.48854961832062,84.62015503875969,1138544.9093972787,1.9965697100375377,60.24173027989822,69.73643410852713,864715.5117420123,0.8502880987943556,86498.0,0.370366945,0.3726906979999999,0.256942357,0.8649999999999999,0.8589999999999999,28,242281.0
